"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\sipesuta\src\Database.php", "PHP", 21, 0, 0, 5, 26
"c:\xampp\htdocs\sipesuta\src\Konfigurasi.php", "PHP", 0, 0, 0, 1, 1
"c:\xampp\htdocs\sipesuta\src\Lampiran.php", "PHP", 47, 0, 0, 8, 55
"c:\xampp\htdocs\sipesuta\src\Lurah.php", "PHP", 45, 0, 0, 11, 56
"c:\xampp\htdocs\sipesuta\src\PengajuanSurat.php", "PHP", 160, 0, 0, 16, 176
"c:\xampp\htdocs\sipesuta\src\Staf.php", "PHP", 84, 0, 0, 15, 99
"c:\xampp\htdocs\sipesuta\src\User.php", "PHP", 86, 0, 0, 12, 98
"c:\xampp\htdocs\sipesuta\src\Utils.php", "PHP", 27, 0, 0, 4, 31
"c:\xampp\htdocs\sipesuta\src\Warga.php", "PHP", 80, 0, 2, 11, 93
"c:\xampp\htdocs\sipesuta\src\input.css", "CSS", 0, 34, 0, 7, 41
"c:\xampp\htdocs\sipesuta\warga\dashboard.php", "PHP", -229, 0, -1, -35, -265
"c:\xampp\htdocs\sipesuta\warga\hapus_pengajuan.php", "PHP", -56, 0, -1, -10, -67
"c:\xampp\htdocs\sipesuta\warga\lihat_pengajuan.php", "PHP", -221, 0, -1, -27, -249
"c:\xampp\htdocs\sipesuta\warga\pengajuan_baru.php", "PHP", -318, 0, -4, -49, -371
"c:\xampp\htdocs\sipesuta\warga\profil.php", "PHP", -189, 0, -1, -25, -215
"c:\xampp\htdocs\sipesuta\warga\proses_pengajuan.php", "PHP", -93, 0, -8, -24, -125
"c:\xampp\htdocs\sipesuta\warga\proses_ubah.php", "PHP", -62, 0, -1, -16, -79
"c:\xampp\htdocs\sipesuta\warga\ubah_pengajuan.php", "PHP", -214, 0, -1, -32, -247
"Total", "-", -832, 34, -16, -128, -942
