"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\sipesuta\src\Database.php", "PHP", 21, 0, 0, 5, 26
"c:\xampp\htdocs\sipesuta\src\Konfigurasi.php", "PHP", 0, 0, 0, 1, 1
"c:\xampp\htdocs\sipesuta\src\Lampiran.php", "PHP", 47, 0, 0, 8, 55
"c:\xampp\htdocs\sipesuta\src\Lurah.php", "PHP", 45, 0, 0, 11, 56
"c:\xampp\htdocs\sipesuta\src\PengajuanSurat.php", "PHP", 160, 0, 0, 16, 176
"c:\xampp\htdocs\sipesuta\src\Staf.php", "PHP", 84, 0, 0, 15, 99
"c:\xampp\htdocs\sipesuta\src\User.php", "PHP", 86, 0, 0, 12, 98
"c:\xampp\htdocs\sipesuta\src\Utils.php", "PHP", 27, 0, 0, 4, 31
"c:\xampp\htdocs\sipesuta\src\Warga.php", "PHP", 80, 0, 2, 11, 93
"c:\xampp\htdocs\sipesuta\src\input.css", "CSS", 0, 34, 0, 7, 41
"Total", "-", 550, 34, 2, 90, 676
